sku,url_key,attribute_set_code,product_type,product_websites,product_online,categories,vendor,visibility,name,description,producttype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,accessories,qty,max_cart_qty,pin,base_image,small_image,thumbnail_image,additional_images
surface laptop-8gb-256gb ssd2,surface laptop-8gb-256gb ssd2,Laptop,simple,base,Yes,Laptop/Microsoft,Microsoft,"Catalog, Search",Surface Laptop,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252kg,37226138,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MICROSOFT-4.1.jpg,MICROSOFT-4.1.jpg,MICROSOFT-4.1.jpg,MICROSOFT-4.2.jpg
surface laptop-8gb-256gb ssd3,surface laptop-8gb-256gb ssd3,Laptop,simple,base,Yes,Laptop/Microsoft,Microsoft,"Catalog, Search",Surface Laptop,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.25kg,49977479,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MICROSOFT-5.1.jpg,MICROSOFT-5.1.jpg,MICROSOFT-5.1.jpg,MICROSOFT-5.2.jpg
surface laptop-8gb-256gb ssd,surface laptop-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Microsoft,Microsoft,"Catalog, Search",Surface Laptop,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.252kg,51890180,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MICROSOFT-6.1.jpg,MICROSOFT-6.1.jpg,MICROSOFT-6.1.jpg,MICROSOFT-6.2.jpg
swift 3-8gb-256gb ssd,swift 3-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Acer,Acer,"Catalog, Search",Swift 3,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg,21391139,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,acer-17.jpg,acer-17.jpg,acer-17.jpg,acer-18.jpg
tecra a50-c-21g-16gb-512gb ssd,tecra a50-c-21g-16gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Toshiba,Toshiba,"Catalog, Search",Tecra A50-C-21G,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Nvidia GeForce 930M,Windows 10,2.4kg,38976322,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,TOSHIBA-12.1.jpg,TOSHIBA-12.1.jpg,TOSHIBA-12.1.jpg,TOSHIBA-12.2.jpg
ux410ua-gv350t (i5-8250u/8gb/256gb/fhd/w10),ux410ua-gv350t (i5-8250u/8gb/256gb/fhd/w10),Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg,26141639,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,asus-05.jpg,asus-05.jpg,asus-05.jpg,asus-06.jpg
v310-15isk (i5-7200u/4gb/1tb/fhd/w10)-4gb-1tb hdd,v310-15isk (i5-7200u/4gb/1tb/fhd/w10)-4gb-1tb hdd,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.9kg,15251604,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-17.jpg,lenovo-17.jpg,lenovo-17.jpg,lenovo-18.jpg
vivobook e200ha,vivobook e200ha,Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",Vivobook E200HA,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98kg,5331116,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,asus-07.jpg,asus-07.jpg,asus-07.jpg,asus-08.jpg
vivobook max,vivobook max,Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",VivoBook Max,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,16284769,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,asus-09.jpg,asus-09.jpg,asus-09.jpg,asus-10.jpg
x540ua-dm186 (i3-6006u/4gb/1tb/fhd/linux),x540ua-dm186 (i3-6006u/4gb/1tb/fhd/linux),Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,2kg,10806692,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,asus-11.jpg,asus-11.jpg,asus-11.jpg,asus-12.jpg
x541ua-dm1897 (i3-6006u/4gb/256gb/fhd/linux),x541ua-dm1897 (i3-6006u/4gb/256gb/fhd/linux),Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,Linux,2kg,11528991,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,asus-13.jpg,asus-13.jpg,asus-13.jpg,asus-14.jpg
x542uq-go005 (i5-7200u/8gb/1tb/geforce,x542uq-go005 (i5-7200u/8gb/1tb/geforce,Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,2.3kg,14529028,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,asus-15.jpg,asus-15.jpg,asus-15.jpg,asus-16.jpg
x751nv-ty001t (n4200/4gb/1tb/geforce,x751nv-ty001t (n4200/4gb/1tb/geforce,Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",X751NV-TY001T (N4200/4GB/1TB/GeForce,Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8kg,12945806,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,asus-17.jpg,asus-17.jpg,asus-17.jpg,asus-18.jpg
xps 13-16gb-512gb ssd,xps 13-16gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",XPS 13,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,51922128,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-17.jpg,dell-17.jpg,dell-17.jpg,dell-18.jpg
xps 13-8gb-128gb ssd,xps 13-8gb-128gb ssd,Laptop,simple,base,Yes,Laptop/Dell,Dell,"Catalog, Search",XPS 13,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22kg,27197305,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,dell-19.jpg,dell-19.jpg,dell-19.jpg,dell-20.jpg
yoga book-4gb-64gb flash storage,yoga book-4gb-64gb flash storage,Laptop,simple,base,Yes,Laptop/Lenovo,Lenovo,"Catalog, Search",Yoga Book,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,Android,0.69kg,8862043,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,lenovo-19.jpg,lenovo-19.jpg,lenovo-19.jpg,lenovo-20.jpg
zenbook ux430un,zenbook ux430un,Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",ZenBook UX430UN,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3kg,41532147,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,asus-19.jpg,asus-19.jpg,asus-19.jpg,asus-20.jpg
