sku,url_key,attribute_set_code,product_type,product_websites,product_online,categories,vendor,visibility,name,description,producttype,screen,screen_resolution,cpu,ram,memory,vga,os,weightkg,price,accessories,qty,max_cart_qty,pin,base_image,small_image,thumbnail_image,additional_images
blade stealth-16gb-512gb ssd,blade stealth-16gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade Stealth,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7500U 2.5GHz,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.29kg,49977479,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-7.1.jpg,RAZOR-7.1.jpg,RAZOR-7.1.jpg,RAZOR-7.2.jpg
blade stealth-8gb-256gb ssd,blade stealth-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade Stealth,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,12.5,Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.25kg,28586340,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-8.1.jpg,RAZOR-8.1.jpg,RAZOR-8.1.jpg,RAZOR-8.2.jpg
blade x-32gb-512gb ssd,blade x-32gb-512gb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade X,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32GB,512GB SSD,Nvidia GeForce GTX 1080,Windows 10,3.49kg,188880979,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-9.1.jpg,RAZOR-9.1.jpg,RAZOR-9.1.jpg,RAZOR-9.2.jpg
blade y-8gb-256gb ssd,blade y-8gb-256gb ssd,Laptop,simple,base,Yes,Laptop/Razer,Razer,"Catalog, Search",Blade Y,Một sản phẩm phù hợp với các bạn sinh viên.,Ultrabook,12.5,Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.25kg,63867829,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,RAZOR-10.1.jpg,RAZOR-10.1.jpg,RAZOR-10.1.jpg,RAZOR-10.2.jpg
chromebook 3-4gb-16gb flash storage,chromebook 3-4gb-16gb flash storage,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Chromebook 3,Một sản phẩm phù hợp với các bạn sinh viên.,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.15kg,7473008,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,SAMSUNG-1.1.jpg,SAMSUNG-1.1.jpg,SAMSUNG-1.1.jpg,SAMSUNG-1.2.jpg
chromebook plus-4gb-32gb flash storage1,chromebook plus-4gb-32gb flash storage1,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Chromebook Plus,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,12.3,IPS Panel Touchscreen 2400x1600,Samsung Cortex A72&A53 2.0GHz,4GB,32GB Flash Storage,ARM Mali T860 MP4,Chrome OS,1.15kg,18307481,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,SAMSUNG-2.1.jpg,SAMSUNG-2.1.jpg,SAMSUNG-2.1.jpg,SAMSUNG-2.2.jpg
chromebook plus-4gb-32gb flash storage,chromebook plus-4gb-32gb flash storage,Laptop,simple,base,Yes,Laptop/Samsung,Samsung,"Catalog, Search",Chromebook Plus,Một sản phẩm phù hợp với các bạn sinh viên.,2 in 1 Convertible,12.3,IPS Panel Touchscreen 2400x1600,Samsung Cortex A72&A53 2.0GHz,4GB,32GB Flash Storage,ARM Mali T860 MP4,Chrome OS,1.15kg,21085551,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,SAMSUNG-3.1.jpg,SAMSUNG-3.1.jpg,SAMSUNG-3.1.jpg,SAMSUNG-3.2.jpg
e402wa-ga010t (e2-6110/2gb/32gb/w10),e402wa-ga010t (e2-6110/2gb/32gb/w10),Laptop,simple,base,Yes,Laptop/Asus,Asus,"Catalog, Search",E402WA-GA010T (E2-6110/2GB/32GB/W10),Một sản phẩm phù hợp với các bạn sinh viên.,Notebook,14,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65kg,5528359,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,asus-01.jpg,asus-01.jpg,asus-01.jpg,asus-02.jpg
ge63vr 7re-16gb-256gb ssd +  1tb hdd,ge63vr 7re-16gb-256gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GE63VR 7RE,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.4kg,49977479,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MICROSOFT-7.1.jpg,MICROSOFT-7.1.jpg,MICROSOFT-7.1.jpg,MICROSOFT-7.2.jpg
ge63vr 7rf-16gb-256gb ssd +  1tb hdd,ge63vr 7rf-16gb-256gb ssd +  1tb hdd,Laptop,simple,base,Yes,Laptop/MSI,MSI,"Catalog, Search",GE63VR 7RF,Một sản phẩm phù hợp với các bạn sinh viên.,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8kg,58311689,Bộ sạc + hướng dẫn sử dụng,20,3,Lithium 4 cells,MSI-1.1.jpg,MSI-1.1.jpg,MSI-1.1.jpg,MSI-1.2.jpg
